word,frequency
и,538643689
в,439522859
не,261397767
на,230614670
что,167166609
с,164829775
я,125705628
а,105567501
он,96606939
как,96022214
по,86366337
к,85057028
но,79938937
это,75286918
его,74954516
из,63695090
все,62820403
от,60516965
у,56665821
за,56336201
для,52182328
о,51621239
так,50459046
она,49251309
же,47188563
то,46182242
или,41502518
ее,40065260
было,39722358
ты,38222793
только,36509082
мы,35246759
они,34444600
если,34249576
их,34034993
бы,33604183
еще,32802160
мне,32741424
меня,32305920
до,30236817
когда,30113178
вы,29017665
был,28372934
уже,27832057
чтобы,27170211
при,27122998
да,24097715
может,21138873
ему,20677938
даже,20514531
время,20019559
ни,19778895
нет,19728441
вот,19378378
во,18739561
быть,18680536
есть,18429196
себя,18348966
со,18041832
чем,17973323
была,17747719
были,17233327
очень,16814804
того,16656454
можно,16502884
под,16368010
будет,16149047
после,15933744
этого,15923698
него,15614177
этом,15317015
где,15274084
ли,14749036
там,14494668
раз,14266143
которые,14255756
том,14213206
без,14096285
более,13660035
этот,13653512
нас,13566575
себе,13042427
кто,13038511
теперь,12975574
сказал,12653549
них,12582738
тебя,12563325
тем,12230812
который,12220702
здесь,12219703
через,12102645
ничего,11988717
ну,11969402
просто,11682580
один,11623858
потом,11623620
больше,11549276
всех,11410561
тут,11337603
сейчас,11180728
тебе,11170628
вас,11142092
также,10875627
жизни,10819199
всего,10815002
ей,10788312
надо,10701605
об,10574308
тогда,10511932
человек,10463727
между,10257998
вам,10217357
потому,10095654
им,10074984
тоже,9840944
своей,9802753
эти,9800224
нам,9705152
несколько,9631955
лишь,9420045
тот,9371207
этой,9365978
лет,9185695
ним,9116522
перед,9112330
ней,9057204
ведь,9033716
пока,8932821
хотя,8892678
всегда,8741144
свою,8651687
нее,8595414
сам,8566559
въ,8504735
день,8453495
года,8302162
глаза,8202543
такой,8038675
людей,8004138
именно,7989568
над,7982258
однако,7887633
два,7873808
человека,7782482
хорошо,7780386
нужно,7776739
жизнь,7700272
времени,7444281
своего,7432332
что-то,7391815
дело,7376436
конечно,7368725
люди,7288105
чего,7269858
своих,7180044
много,7157201
почему,7115862
поэтому,7053331
свои,6988784
почти,6965174
собой,6761636
которых,6714650
снова,6641616
мог,6615921
случае,6614768
мой,6491880
которой,6452818
которая,6450588
руки,6415714
совсем,6358868
всем,6339525
никогда,6332237
сразу,6289636
вместе,6221962
эта,6143045
другой,6070285
затем,5977898
лучше,5943464
является,5925106
этих,5922073
вдруг,5917475
стал,5904239
слова,5893038
три,5892385
могут,5837657
знаю,5739504
стороны,5717746
сказать,5634832
свое,5621857
такое,5587388
образом,5536735
должен,5530381
уж,5528459
сегодня,5509696
одной,5503185
других,5497460
друг,5455310
свой,5451714
например,5408943
место,5408839
оно,5404368
таким,5378262
тех,5341495
эту,5304499
которого,5259202
дома,5199117
будто,5169049
спросил,5165941
этим,5137075
значит,5120967
России,5107988
никто,5077265
рядом,5038954
тому,5010802
лицо,5006901
своим,5003888
словно,4975775
те,4951226
быстро,4923505
вообще,4922822
сказала,4895652
кроме,4870762
голову,4833714
каждый,4830811
должны,4808300
часть,4792164
одного,4782772
куда,4749562
вернуться,4744747
руку,4686075
российской,4655509
работы,4624883
нем,4614000
про,4595391
одна,4582609
вопрос,4556562
такие,4556115
сделать,4505456
году,4504225
делать,4458370
слишком,4436208
совершенно,4361357
точно,4337039
сторону,4301295
могу,4243672
сколько,4233198
которое,4223655
немного,4202608
из-за,4177474
Федерации,4175401
двух,4157540
наконец,4151750
другие,4148816
говорит,4138779
части,4134139
часто,4130431
против,4128055
ко,4126445
назад,4109242
хоть,4081395
будут,4074503
среди,4069038
первый,4060336
ответил,4046463
нельзя,4042044
дверь,4007056
момент,3998451
следует,3992169
самом,3990166
всю,3985536
весь,3965965
голос,3958154
особенно,3954637
имеет,3949944
моя,3949187
стало,3946057
правда,3935144
мир,3905592
одно,3890761
прямо,3880170
возможно,3869424
две,3865926
какой,3840917
дня,3837239
пусть,3829920
кажется,3792207
опять,3785164
которую,3783724
ними,3781270
таких,3774566
деятельности,3751764
мной,3746944
прежде,3742178
права,3732158
сама,3722165
второй,3697104
дом,3689694
такого,3680460
стоит,3677937
лица,3647394
деле,3634342
действительно,3628387
взгляд,3608396
стали,3585233
иногда,3570509
вокруг,3558859
менее,3558316
нему,3557819
либо,3556190
хотел,3553376
дальше,3540980
год,3532123
дела,3524964
знал,3523402
чуть,3521692
мои,3518798
деньги,3514125
месте,3510491
отец,3495385
говорил,3492303
самого,3474284
давно,3438881
моей,3427966
зачем,3417734
той,3405817
долго,3394004
детей,3371863
хочу,3369302
этому,3348466
минут,3317410
должна,3308948
мира,3303127
головой,3287325
могла,3284678
системы,3252094
поскольку,3248613
слово,3244981
понял,3243821
говорить,3242679
связи,3238432
котором,3230577
необходимо,3224638
равно,3194285
власти,3186298
достаточно,3170132
могли,3169069
стала,3164845
сердце,3153943
ответ,3153907
сами,3153037
должно,3152890
своем,3146048
места,3145077
пор,3141927
РФ,3140924
женщина,3123014
видел,3117794
развития,3100873
самое,3099052
вполне,3096819
такая,3095508
кто-то,3082739
начала,3076950
мало,3070187
друга,3056742
воды,3056633
большой,3056313
кого,3053031
девушка,3043893
мысли,3034512
раньше,3032518
всей,3028114
внимание,3017976
виде,3008261
ноги,2981690
силы,2969607
конце,2964921
казалось,2961938
наши,2961825
имя,2956620
около,2949370
многие,2931983
области,2917559
нашей,2915724
едва,2910579
наш,2908841
начал,2904146
обычно,2886640
буду,2874172
право,2868722
та,2867013
довольно,2844450
жить,2840019
пути,2834749
дней,2830662
смерти,2828807
города,2822370
сначала,2819649
знает,2799557
работу,2787459
сделал,2782512
туда,2779234
возможность,2776880
организации,2764365
скорее,2763353
найти,2758991
тело,2746717
вновь,2743908
земли,2737036
одну,2735449
мое,2728228
самой,2718058
пять,2712782
которым,2711083
вся,2705113
сюда,2701871
некоторые,2701378
мать,2687301
какие,2682396
истории,2679338
идет,2676610
своими,2672804
думаю,2670383
выше,2666779
качестве,2661280
вперед,2658488
иначе,2655831
одним,2636193
путь,2633166
ж,2632938
наверное,2624728
тобой,2622715
свет,2619189
город,2609758
течение,2605209
весьма,2602680
вид,2598409
знаешь,2595975
самый,2595284
хотелось,2589883
глава,2575300
б,2574648
сильно,2570882
ночь,2570725
ибо,2567496
пришлось,2561975
мере,2551245
бог,2548690
съ,2544005
домой,2543795
разве,2540345
любовь,2537910
войны,2527813
все-таки,2524358
решил,2521163
вместо,2520258
как-то,2517710
глазами,2506464
какой-то,2499527
мире,2497919
